prefix_hit_tokens,prefix_hit_blocks,prefill_tokens_scheduled,median_ttft_ms,min_ttft_ms,max_ttft_ms,samples
0,0,2112,777.4895299990021,764.119932999165,851.3489169999957,5
128,8,1984,841.8188510004256,760.1106550027907,872.7488889999222,5
256,16,1856,761.0102170001483,741.896503001044,817.1460660014418,5
384,24,1728,733.7940610013902,718.9639150019502,801.3034130017331,5
512,32,1600,717.9225319996476,693.8797959992371,749.3451570007892,5
640,40,1472,687.0331189966237,670.5367290014692,740.4192270005296,5
768,48,1344,627.342994997889,617.3462600017956,688.1115719988884,5
896,56,1216,605.3877980011748,589.481307000824,661.2506909987133,5
1024,64,1088,567.2745480005688,550.3434070014919,605.9765639984107,5
1152,72,960,505.5930090020411,489.92111399638816,532.0919910009252,5
1280,80,832,464.93496100083576,438.47971099967253,499.50668000019505,5
1408,88,704,414.58258099737577,386.992581999948,448.92999099829467,5
1536,96,576,351.5356649986643,337.9100769998331,379.82816500152694,5
1664,104,448,289.247778000572,278.59052299754694,323.4923250020074,5
1792,112,320,207.12328799709212,200.4838409993681,208.77974100221763,5
1920,120,192,149.53763000085019,141.06427200022154,159.4133540020266,5
2048,128,64,72.76821699997527,64.0311630013457,75.17356500102323,5
2096,131,16,39.99640299662133,29.644643000210635,49.365345999831334,5
