case_name,run_id,target_prompt_tokens,prompt_tokens,prompt_chars,max_tokens,latency_seconds,ttft_seconds,tpot_seconds,completion_tokens,total_tokens,one_over_tpot_tokens_per_second,response_chars,response_preview,error
short_prompt_short_output,1,64,72,105,64,2.1995,0.5426,0.0263,64,136,38.0228,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_short_output,2,64,72,105,64,1.8347,0.0747,0.0279,64,136,35.8423,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_short_output,3,64,72,105,64,1.8563,0.0764,0.0283,64,136,35.3357,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_short_output,4,64,72,105,64,1.7131,0.0702,0.0261,64,136,38.3142,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_short_output,5,64,72,105,64,1.7070,0.0719,0.0260,64,136,38.4615,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_short_output,6,64,72,105,64,1.8134,0.0734,0.0276,64,136,36.2319,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_short_output,7,64,72,105,64,1.7761,0.0723,0.0270,64,136,37.0370,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_short_output,8,64,72,105,64,1.7731,0.0739,0.0270,64,136,37.0370,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_short_output,9,64,72,105,64,1.7915,0.0733,0.0273,64,136,36.6300,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_short_output,10,64,72,105,64,1.7938,0.0770,0.0273,64,136,36.6300,142,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_long_output,1,64,72,105,512,14.2029,0.0724,0.0277,512,584,36.1011,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_long_output,2,64,72,105,512,14.0351,0.0711,0.0273,512,584,36.6300,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_long_output,3,64,72,105,512,13.8389,0.0726,0.0269,512,584,37.1747,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_long_output,4,64,72,105,512,13.4031,0.0702,0.0261,512,584,38.3142,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_long_output,5,64,72,105,512,13.4164,0.0719,0.0261,512,584,38.3142,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_long_output,6,64,72,105,512,13.3861,0.0698,0.0261,512,584,38.3142,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_long_output,7,64,72,105,512,13.6855,0.0700,0.0266,512,584,37.5940,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_long_output,8,64,72,105,512,13.9517,0.0737,0.0272,512,584,36.7647,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_long_output,9,64,72,105,512,13.9631,0.0715,0.0272,512,584,36.7647,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
short_prompt_long_output,10,64,72,105,512,14.1115,0.0735,0.0275,512,584,36.3636,1047,"### vLLM 线上推理请求性能分析  #### 1. Prefill 阶段（预填充） **核心瓶颈**：Token 生成耗时（Token Generation Time, TGT）。 *   **观察方法**：     *   对比 `",
long_prompt_short_output,1,2048,2088,5163,64,2.4924,0.8101,0.0267,64,2152,37.4532,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_short_output,2,2048,2088,5163,64,1.8970,0.2278,0.0265,64,2152,37.7358,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_short_output,3,2048,2088,5163,64,1.9296,0.2347,0.0269,64,2152,37.1747,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_short_output,4,2048,2088,5163,64,1.9533,0.2546,0.0270,64,2152,37.0370,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_short_output,5,2048,2088,5163,64,1.9404,0.2274,0.0272,64,2152,36.7647,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_short_output,6,2048,2088,5163,64,1.9772,0.2527,0.0274,64,2152,36.4964,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
